"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T02_S01_001","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_002","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_003","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_004","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_005","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_006","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_007","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_008","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_009","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_010","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Medium","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_011","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_012","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_013","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_014","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_015","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_016","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_017","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_018","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_019","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_020","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_021","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_022","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_023","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_024","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Hard","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_025","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_026","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_027","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","Clockwise from north","From the nearest horizontal line","C","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_028","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","Clockwise from north","D","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_029","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from north","Clockwise from east","Anticlockwise from south","From the nearest horizontal line","A","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
"QB_A06_T02_S01_030","A06","Trigonometry","A06_T02","Trigonometric Applications","A06_T02_S01","Bearings - the compass","6.2.1","Advanced","MCQ","How are bearings usually measured?","Clockwise from east","Clockwise from north","Anticlockwise from south","From the nearest horizontal line","B","Bearings are measured clockwise from north.","trigonometry;trigonometric;applications;bearings;compass","approved_hierarchy_v1"
