"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T08_S03_001","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(40^\circ\). Which angle measure is forced by parallel-line reasoning?","\(140^\circ\)","\(40^\circ\)","\(60^\circ\)","\(20^\circ\)","A","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_002","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(45^\circ\). Which angle measure is forced by parallel-line reasoning?","\(45^\circ\)","\(135^\circ\)","\(65^\circ\)","\(25^\circ\)","B","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_003","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(50^\circ\). Which angle measure is forced by parallel-line reasoning?","\(50^\circ\)","\(70^\circ\)","\(130^\circ\)","\(30^\circ\)","C","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_004","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(55^\circ\). Which angle measure is forced by parallel-line reasoning?","\(55^\circ\)","\(75^\circ\)","\(35^\circ\)","\(125^\circ\)","D","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_005","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(60^\circ\). Which angle measure is forced by parallel-line reasoning?","\(120^\circ\)","\(60^\circ\)","\(80^\circ\)","\(40^\circ\)","A","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_006","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(65^\circ\). Which angle measure is forced by parallel-line reasoning?","\(65^\circ\)","\(115^\circ\)","\(85^\circ\)","\(45^\circ\)","B","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_007","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(70^\circ\). Which angle measure is forced by parallel-line reasoning?","\(70^\circ\)","\(90^\circ\)","\(110^\circ\)","\(50^\circ\)","C","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_008","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(75^\circ\). Which angle measure is forced by parallel-line reasoning?","\(75^\circ\)","\(95^\circ\)","\(55^\circ\)","\(105^\circ\)","D","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_009","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(80^\circ\). Which angle measure is forced by parallel-line reasoning?","\(100^\circ\)","\(80^\circ\)","\(100^\circ\) ","\(60^\circ\)","A","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
"QB_A02_T08_S03_010","A02","Geometry","A02_T08","Geometry Problems & Reasoning","A02_T08_S03","Further difficult exercises involving formal reasoning","2.8.3","Medium","MCQ","Parallel lines are cut by a transversal. One interior angle is \(35^\circ\). Which angle measure is forced by parallel-line reasoning?","\(35^\circ\)","\(145^\circ\)","\(55^\circ\)","\(15^\circ\)","B","Co-interior angles on parallel lines are supplementary.","geometry;problems;reasoning;further;difficult;exercises;involving;formal;parallel-lines","approved_hierarchy_v1"
