"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S03_001","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(10\) and an acute angle is \(30^\circ\). Which expression gives the opposite side?","\(10\sin 30^\circ\)","\(10\cos 30^\circ\)","\(10\tan 30^\circ\)","\(\frac{10}{\sin 30^\circ}\)","A","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_002","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(11\) and an acute angle is \(36^\circ\). Which expression gives the opposite side?","\(11\cos 36^\circ\)","\(11\sin 36^\circ\)","\(11\tan 36^\circ\)","\(\frac{11}{\sin 36^\circ}\)","B","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_003","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(12\) and an acute angle is \(42^\circ\). Which expression gives the opposite side?","\(12\cos 42^\circ\)","\(12\tan 42^\circ\)","\(12\sin 42^\circ\)","\(\frac{12}{\sin 42^\circ}\)","C","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_004","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(13\) and an acute angle is \(48^\circ\). Which expression gives the opposite side?","\(13\cos 48^\circ\)","\(13\tan 48^\circ\)","\(\frac{13}{\sin 48^\circ}\)","\(13\sin 48^\circ\)","D","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_005","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(14\) and an acute angle is \(54^\circ\). Which expression gives the opposite side?","\(14\sin 54^\circ\)","\(14\cos 54^\circ\)","\(14\tan 54^\circ\)","\(\frac{14}{\sin 54^\circ}\)","A","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_006","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(15\) and an acute angle is \(30^\circ\). Which expression gives the opposite side?","\(15\cos 30^\circ\)","\(15\sin 30^\circ\)","\(15\tan 30^\circ\)","\(\frac{15}{\sin 30^\circ}\)","B","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_007","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(16\) and an acute angle is \(36^\circ\). Which expression gives the opposite side?","\(16\cos 36^\circ\)","\(16\tan 36^\circ\)","\(16\sin 36^\circ\)","\(\frac{16}{\sin 36^\circ}\)","C","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_008","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(17\) and an acute angle is \(42^\circ\). Which expression gives the opposite side?","\(17\cos 42^\circ\)","\(17\tan 42^\circ\)","\(\frac{17}{\sin 42^\circ}\)","\(17\sin 42^\circ\)","D","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_009","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(10\) and an acute angle is \(48^\circ\). Which expression gives the opposite side?","\(10\sin 48^\circ\)","\(10\cos 48^\circ\)","\(10\tan 48^\circ\)","\(\frac{10}{\sin 48^\circ}\)","A","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
"QB_A06_T01_S03_010","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S03","Using the trigonometric ratios to find unknown length. [Case 1 Sine]","6.1.3","Medium","MCQ","In a right-angled triangle, the hypotenuse is \(11\) and an acute angle is \(54^\circ\). Which expression gives the opposite side?","\(11\cos 54^\circ\)","\(11\sin 54^\circ\)","\(11\tan 54^\circ\)","\(\frac{11}{\sin 54^\circ}\)","B","Use \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;find;unknown;length;case;sine","approved_hierarchy_v1"
