"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S03_001","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_002","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_003","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_004","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_005","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_006","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_007","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_008","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_009","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_010","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Medium","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_011","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_012","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
