"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S02_001","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Degree mode","Radian mode only","Statistical mode","Fraction mode","A","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_002","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Degree mode","Statistical mode","Fraction mode","B","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_003","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Statistical mode","Degree mode","Fraction mode","C","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_004","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Statistical mode","Fraction mode","Degree mode","D","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_005","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Degree mode","Radian mode only","Statistical mode","Fraction mode","A","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_006","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Degree mode","Statistical mode","Fraction mode","B","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_007","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Statistical mode","Degree mode","Fraction mode","C","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_008","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Statistical mode","Fraction mode","Degree mode","D","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_009","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Degree mode","Radian mode only","Statistical mode","Fraction mode","A","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
"QB_A06_T01_S02_010","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S02","Using the calculator","6.1.2","Medium","MCQ","Before using a calculator for trigonometry in a degree problem, which mode should be checked?","Radian mode only","Degree mode","Statistical mode","Fraction mode","B","Angle measures given in degrees require degree mode.","trigonometry;trigonometric;ratios;calculator","approved_hierarchy_v1"
