"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T01_S05_001","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(3\)?","\(9\pi\)","\(6\pi\)","\(3\pi\)","\(10\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_002","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(4\)?","\(8\pi\)","\(16\pi\)","\(4\pi\)","\(17\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_003","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(5\)?","\(10\pi\)","\(5\pi\)","\(25\pi\)","\(26\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_004","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(6\)?","\(12\pi\)","\(6\pi\)","\(37\pi\)","\(36\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_005","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(7\)?","\(49\pi\)","\(14\pi\)","\(7\pi\)","\(50\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_006","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(8\)?","\(16\pi\)","\(64\pi\)","\(8\pi\)","\(65\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_007","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(9\)?","\(18\pi\)","\(9\pi\)","\(81\pi\)","\(82\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_008","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(3\)?","\(6\pi\)","\(3\pi\)","\(10\pi\)","\(9\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_009","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(4\)?","\(16\pi\)","\(8\pi\)","\(4\pi\)","\(17\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_010","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Medium","MCQ","What is the area of a circle of radius \(5\)?","\(10\pi\)","\(25\pi\)","\(5\pi\)","\(26\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_011","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(6\)?","\(12\pi\)","\(6\pi\)","\(36\pi\)","\(37\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_012","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(7\)?","\(14\pi\)","\(7\pi\)","\(50\pi\)","\(49\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_013","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(8\)?","\(64\pi\)","\(16\pi\)","\(8\pi\)","\(65\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
