"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A04_T01_S10_001","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\frac{\sqrt{3}-1}{2}\)","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","A","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_002","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","B","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_003","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{1}{2}\)","C","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_004","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","D","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_005","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\frac{\sqrt{3}-1}{2}\)","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","A","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_006","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","B","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_007","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{1}{2}\)","C","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_008","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","D","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_009","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\frac{\sqrt{3}-1}{2}\)","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","A","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_010","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Medium","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","B","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_011","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{1}{2}\)","C","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_012","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","D","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_013","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\frac{\sqrt{3}-1}{2}\)","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","A","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_014","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","B","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_015","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","\(\frac{1}{2}\)","C","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_016","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","\(\frac{\sqrt{3}-1}{2}\)","D","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
"QB_A04_T01_S10_017","A04","Numbers & Surds","A04_T01","Surds","A04_T01_S10","Rationalising binomial denominators","4.1.10","Hard","MCQ","Rationalise the denominator of \(\frac{1}{\sqrt{3}+1}\).","\(\frac{\sqrt{3}-1}{2}\)","\(\sqrt{3}-1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\frac{1}{2}\)","A","Multiply by the conjugate \(\sqrt{3}-1\) and simplify.","numbers;surds;rationalising;binomial;denominators;rationalise;conjugate","approved_hierarchy_v1"
